,DISTRICT_ID,SCHOOL_ID,grad_rate,TOTAL,ECONOMICALLY_DISADVANTAGED,FEMALE,HISPANIC_FEMALE,ASIAN_FEMALE,AFRICAN_AMERICAN_FEMALE,WHITE_FEMALE,MALE,AFRICAN_AMERICAN_MALE,WHITE_MALE,ASIAN_MALE,HISPANIC_MALE,AFRICAN_AMERICAN,ASIAN,HISPANIC,WHITE,Expend_per_pupil
0,10,2,0.96,1075,0.2474418604651163,0.4827906976744186,0.008372093023255815,0.005581395348837209,0.0027906976744186047,0.46511627906976744,0.5172093023255814,0.0074418604651162795,0.5004651162790698,0.004651162790697674,0.0018604651162790699,0.010232558139534883,0.010232558139534883,0.010232558139534883,0.9655813953488372,9171.37
1,10,25,0.95,1120,0.3392857142857143,0.4517857142857143,0.010714285714285714,0.008035714285714285,0.020535714285714286,0.40982142857142856,0.5482142857142858,0.019642857142857142,0.5053571428571428,0.0035714285714285713,0.01607142857142857,0.04017857142857143,0.011607142857142858,0.026785714285714284,0.9151785714285714,9523.76
2,12,35,0.92,1406,0.19985775248933144,0.4914651493598862,0.044096728307254626,0.019203413940256046,0.07041251778093884,0.35135135135135137,0.5085348506401138,0.08534850640113797,0.34637268847795166,0.02418207681365576,0.04694167852062589,0.15576102418207682,0.04338549075391181,0.09103840682788052,0.697724039829303,12546.31
3,20,13,0.98,481,0.19334719334719336,0.44282744282744285,0.037422037422037424,0.002079002079002079,0.016632016632016633,0.38253638253638256,0.5571725571725572,0.02702702702702703,0.48232848232848236,0.004158004158004158,0.037422037422037424,0.04365904365904366,0.006237006237006237,0.07484407484407485,0.8648648648648649,9106.97
4,20,20,0.89,1506,0.37184594953519257,0.4907038512616202,0.1693227091633466,0.0033200531208499337,0.08632138114209828,0.22841965471447542,0.5092961487383798,0.08300132802124834,0.2556440903054449,0.00796812749003984,0.16069057104913678,0.1693227091633466,0.011288180610889775,0.3300132802124834,0.48406374501992033,7418.07
5,20,35,0.91,534,0.23782771535580524,0.4887640449438202,0.056179775280898875,0.003745318352059925,0.020599250936329586,0.40823970037453183,0.5112359550561798,0.02247191011235955,0.4232209737827715,0.0,0.0599250936329588,0.04307116104868914,0.003745318352059925,0.11610486891385768,0.8314606741573034,8279.85
6,30,25,0.94,637,0.32653061224489793,0.48665620094191525,0.006279434850863423,0.0015698587127158557,0.01098901098901099,0.46153846153846156,0.5133437990580848,0.0282574568288854,0.4631083202511774,0.0031397174254317113,0.012558869701726845,0.03924646781789639,0.004709576138147566,0.018838304552590265,0.9246467817896389,9673.19
7,40,5,0.93,515,0.3864077669902913,0.44854368932038835,0.021359223300970873,0.0,0.009708737864077669,0.4155339805825243,0.5514563106796116,0.007766990291262136,0.4893203883495146,0.001941747572815534,0.038834951456310676,0.017475728155339806,0.001941747572815534,0.06019417475728155,0.9048543689320389,10027.42
8,50,63,0.93,1396,0.20773638968481375,0.49355300859598855,0.03581661891117478,0.0071633237822349575,0.009312320916905445,0.4376790830945559,0.5064469914040115,0.014326647564469915,0.4491404011461318,0.0028653295128939827,0.0336676217765043,0.02363896848137536,0.01002865329512894,0.06948424068767908,0.8868194842406877,9268.68
9,50,155,0.93,1667,0.15116976604679064,0.4997000599880024,0.01739652069586083,0.002999400119976005,0.008398320335932814,0.46910617876424715,0.5002999400119976,0.01739652069586083,0.45710857828434315,0.004799040191961607,0.01859628074385123,0.02579484103179364,0.007798440311937612,0.035992801439712056,0.9262147570485902,8945.95
10,51,10,0.99,682,0.218475073313783,0.46920821114369504,0.051319648093841645,0.01466275659824047,0.11730205278592376,0.28152492668621704,0.530791788856305,0.1217008797653959,0.3460410557184751,0.013196480938416423,0.04398826979472141,0.23900293255131966,0.02785923753665689,0.09530791788856305,0.6275659824046921,11480.54
11,52,15,0.94,1225,0.11755102040816326,0.47591836734693876,0.024489795918367346,0.014693877551020407,0.029387755102040815,0.40408163265306124,0.5240816326530612,0.02857142857142857,0.46122448979591835,0.00816326530612245,0.024489795918367346,0.05795918367346939,0.022857142857142857,0.04897959183673469,0.8653061224489796,10737.01
12,60,20,0.92,1716,0.3041958041958042,0.48834498834498835,0.020396270396270396,0.002913752913752914,0.02097902097902098,0.44114219114219116,0.5116550116550117,0.026806526806526808,0.4586247086247086,0.0017482517482517483,0.022727272727272728,0.047785547785547784,0.004662004662004662,0.04312354312354312,0.8997668997668997,7898.91
13,60,53,0.93,29,0.5172413793103449,0.27586206896551724,0.0,0.0,0.034482758620689655,0.2413793103448276,0.7241379310344828,0.0,0.6896551724137931,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.9310344827586207,33437.25
14,60,78,0.96,1515,0.17623762376237623,0.48250825082508253,0.027722772277227723,0.0033003300330033004,0.0231023102310231,0.4231023102310231,0.5174917491749175,0.022442244224422443,0.464026402640264,0.0026402640264026403,0.02706270627062706,0.04554455445544554,0.005940594059405941,0.05478547854785479,0.8871287128712871,8327.42
15,60,105,0.88,51,0.17647058823529413,0.6078431372549019,0.0196078431372549,0.0,0.0196078431372549,0.5686274509803921,0.39215686274509803,0.0,0.37254901960784315,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0392156862745098,0.9411764705882353,6174.93
16,61,20,0.9,1703,0.3805049911920141,0.4703464474456841,0.10334703464474457,0.011156782149148562,0.06811509101585438,0.2795067527891955,0.5296535525543159,0.06987668819729888,0.33294186729301234,0.012331180270111567,0.10745742806811509,0.13799177921315325,0.023487962419260128,0.21080446271285966,0.6124486200822079,8694.17
