grad_rate,ECONOMICALLY_DISADVANTAGED,H_Female,AA_FEMALE,W_FEMALE,AA_MALE,W_MALE,H_MALE,AA,H,W,Expend_per_pupil,CHRONIC_ABSENT
0.96,0.2474418604651163,0.008372093023255816,0.002790697674418605,0.4651162790697674,0.007441860465116278,0.5004651162790698,0.0018604651162790694,0.010232558139534885,0.010232558139534885,0.9655813953488372,9171.37,0.15100001
0.95,0.3392857142857143,0.010714285714285714,0.02053571428571429,0.40982142857142856,0.019642857142857142,0.5053571428571428,0.01607142857142857,0.04017857142857143,0.026785714285714284,0.9151785714285714,9523.76,0.17799999
0.92,0.19985775248933146,0.04409672830725463,0.07041251778093884,0.35135135135135137,0.08534850640113797,0.3463726884779517,0.04694167852062589,0.15576102418207682,0.09103840682788053,0.697724039829303,12546.31,0.175
0.98,0.19334719334719336,0.037422037422037424,0.016632016632016633,0.38253638253638256,0.027027027027027032,0.4823284823284824,0.037422037422037424,0.04365904365904366,0.07484407484407485,0.8648648648648649,9106.97,0.171
0.89,0.37184594953519257,0.1693227091633466,0.08632138114209828,0.22841965471447545,0.08300132802124834,0.2556440903054449,0.16069057104913678,0.1693227091633466,0.3300132802124834,0.4840637450199203,7418.07,0.16899999999999998
0.91,0.23782771535580524,0.05617977528089888,0.020599250936329583,0.40823970037453183,0.02247191011235955,0.4232209737827715,0.0599250936329588,0.04307116104868914,0.11610486891385767,0.8314606741573034,8279.85,0.16899999999999998
0.94,0.32653061224489793,0.006279434850863423,0.01098901098901099,0.4615384615384616,0.0282574568288854,0.4631083202511774,0.012558869701726844,0.03924646781789639,0.018838304552590262,0.9246467817896388,9673.19,0.134
0.93,0.3864077669902913,0.021359223300970873,0.009708737864077669,0.4155339805825243,0.007766990291262136,0.4893203883495146,0.03883495145631068,0.017475728155339806,0.06019417475728155,0.9048543689320389,10027.42,0.19299999
0.93,0.20773638968481373,0.03581661891117478,0.009312320916905445,0.4376790830945559,0.014326647564469915,0.4491404011461318,0.0336676217765043,0.02363896848137536,0.06948424068767907,0.8868194842406877,9268.68,0.088999994
0.93,0.15116976604679064,0.017396520695860833,0.008398320335932814,0.4691061787642472,0.017396520695860833,0.4571085782843432,0.01859628074385123,0.02579484103179364,0.035992801439712056,0.9262147570485902,8945.95,0.09
